trial_number,state,stopped_epoch,target_metric,best_val_loss,best_macro_auroc,pretrain_lr,weight_decay,scheduler_patience,scheduler_factor,tabular_hidden_dim,tabular_fusion_dim,tabular_dropout,hidden_dim,num_layers,rnn_dropout,head_dropout
26,COMPLETE,15,0.47699438397948807,0.47699438397948807,0.0,0.0004950035223115198,1.1019379210949477e-05,7,0.30000000000000004,64,256,0.4,128,1,0.1,0.4
27,PRUNED,5,0.4916278591027131,0.4916278591027131,0.0,0.000419501687117927,3.374864135680966e-05,5,0.4,64,128,0.4,256,1,0.1,0.4
28,PRUNED,5,0.49561207278354746,0.49561207278354746,0.0,0.0003802377681953617,4.62395760403773e-05,5,0.30000000000000004,128,512,0.4,128,1,0.2,0.4
29,PRUNED,5,0.4941044498134304,0.4941044498134304,0.0,0.00018102869332543338,1.2317107341287823e-05,6,0.2,128,256,0.4,128,1,0.30000000000000004,0.4
30,COMPLETE,24,0.4760977674174953,0.476536993239377,0.0,0.0002699758440186443,2.2401126096107945e-05,5,0.30000000000000004,256,128,0.30000000000000004,128,1,0.1,0.4
31,COMPLETE,25,0.47481856555552093,0.47481856555552093,0.0,0.00030612805503169396,3.9068605047469753e-05,4,0.30000000000000004,256,128,0.4,128,1,0.1,0.4
32,COMPLETE,15,0.4790151135341541,0.4790151135341541,0.0,0.0003048331780597976,0.0001987566474822448,3,0.30000000000000004,256,512,0.4,128,2,0.1,0.4
33,PRUNED,5,0.48332261636450485,0.48332261636450485,0.0,0.0004731411161603002,2.926607636233095e-05,6,0.30000000000000004,128,256,0.4,256,1,0.1,0.4
34,COMPLETE,18,0.47683684487600586,0.47683684487600586,0.0,0.00044678132764932433,3.681477873344329e-05,3,0.2,64,256,0.30000000000000004,128,1,0.1,0.4
35,PRUNED,5,0.49028012317580144,0.49028012317580144,0.0,0.0003442082692917645,6.298435775478319e-05,3,0.4,256,128,0.4,128,1,0.1,0.4
36,COMPLETE,15,0.47670135707468597,0.47670135707468597,0.0,0.0004393867144289196,0.00010187088910719233,5,0.4,64,256,0.4,128,1,0.2,0.30000000000000004
37,PRUNED,5,0.49165286405666453,0.49180509512488907,0.0,0.0003433159849544012,3.629519920511084e-05,3,0.5,256,128,0.30000000000000004,256,1,0.30000000000000004,0.30000000000000004
38,PRUNED,5,0.5010061731209626,0.5010061731209626,0.0,0.00022624265542299906,1.4465593761776096e-05,5,0.30000000000000004,64,128,0.4,128,1,0.30000000000000004,0.4
39,PRUNED,15,0.47605242600312103,0.47605242600312103,0.0,0.00024212404276076677,1.0503257890634304e-05,6,0.2,64,256,0.4,256,1,0.2,0.4
40,PRUNED,5,0.4934804673130448,0.4934804673130448,0.0,0.00039680842071328616,0.00013855909941881206,3,0.4,256,128,0.1,256,1,0.1,0.30000000000000004
41,PRUNED,15,0.4748892759954607,0.4748892759954607,0.0,0.0002927353510542289,2.1636232358256568e-05,5,0.2,256,128,0.2,128,2,0.1,0.4
42,PRUNED,5,0.4949949641485472,0.4949949641485472,0.0,0.00018232701367686908,4.55153641114774e-05,6,0.30000000000000004,256,128,0.2,128,1,0.1,0.4
43,PRUNED,15,0.4851815289742238,0.4856119840531736,0.0,0.0002334689403093583,2.828334447961778e-05,5,0.30000000000000004,256,256,0.4,128,1,0.1,0.4
44,PRUNED,5,0.48975903681806615,0.48975903681806615,0.0,0.000449897910981954,2.6422183678299067e-05,3,0.30000000000000004,256,128,0.2,128,1,0.2,0.2
45,COMPLETE,20,0.4763761235250009,0.4763761235250009,0.0,0.00042807096192466667,1.7285589658758624e-05,4,0.2,256,128,0.4,128,1,0.1,0.4
46,PRUNED,5,0.49445513937924357,0.49445513937924357,0.0,0.00024034225369039605,2.964179496406711e-05,4,0.4,128,128,0.2,128,1,0.1,0.30000000000000004
47,PRUNED,5,0.4900174575882989,0.4900174575882989,0.0,0.00022013216772280044,4.281293760780367e-05,5,0.4,256,128,0.30000000000000004,256,1,0.1,0.30000000000000004
48,PRUNED,5,0.49036018832309825,0.49036018832309825,0.0,0.00028961734440474755,6.27134838392993e-05,6,0.5,256,128,0.30000000000000004,128,1,0.30000000000000004,0.2
49,PRUNED,15,0.4817474500553028,0.4825583656091948,0.0,0.0002626782336517411,0.0001268616190623087,3,0.2,256,128,0.4,128,1,0.30000000000000004,0.4
